singer,song,low,high,super_high
米津玄師,orion,2mid1D#,3hiA#,3hiA#
米津玄師,LOSER,2mid1C#,3hiA#,
米津玄師,ゆめうつつ,2mid1C,2mid2G,3hiA#
米津玄師,死神,1lowG,2mid2G,3hiA
米津玄師,カムパネルラ,2mid1D,3hiB,3hiB
米津玄師,Flamingo,2mid1D,3hiA,
米津玄師,リビングデッド・ユース,2mid1F#,2mid2G,3hiB
米津玄師,パプリカ(米津玄師),2mid1D,2mid2F#,3hiB
米津玄師,打上花火(DAOKO),2mid1A#,3hiD#,
米津玄師,MAD HEAD LOVE,2mid1D,2mid2G,
米津玄師,鳥にでもなりたい,2mid1D,2mid2F,2mid2G
米津玄師,TOXIC BOY,2mid1D,2mid2F#,3hiB
米津玄師,caribou,2mid1A,2mid2E,
米津玄師,WOODEN DOLL,2mid1D#,2mid2F,3hiC
米津玄師,駄菓子屋商売,2mid1C#,2mid2F#,3hiC#
米津玄師,フローライト,2mid1D,2mid2G,2mid2G#
米津玄師,vivi,2mid1A#,2mid2F,2mid2G#
米津玄師,アンビリーバーズ,2mid1A#,2mid2G#,3hiA#
米津玄師,あたしはゆうれい,2mid1C,2mid2F#,2mid2G#
米津玄師,恋と病熱,2mid1B,2mid2F#,2mid2G
米津玄師,TEENAGE RIOT,2mid1B,3hiB,
米津玄師,Flowerwall,2mid1C,2mid2G,
米津玄師,かいじゅうのマーチ,2mid1B,2mid2G#,3hiA
米津玄師,メランコリーキッチン,2mid1E,2mid2F#,3hiA
米津玄師,優しい人,2mid1C#,2mid2F#,3hiB
米津玄師,砂の惑星,2mid1D#,2mid2G#,
米津玄師,馬と鹿,2mid1C,3hiA#,3hiA#
米津玄師,ナンバーナイン,2mid1D,2mid2G,3hiB
米津玄師,海の幽霊,2mid1C#,3hiA,3hiE
米津玄師,ゴーゴー幽霊船,2mid1A#,2mid2G,3hiA#
米津玄師,Nighthawks,2mid1C,3hiA,
米津玄師,爱丽丝,2mid1D,2mid2G#,
米津玄師,Paper Flower,1lowG#,2mid2G#,3hiA
米津玄師,雨と山椒魚,2mid1C,2mid2G,3hiA
米津玄師,ミラージュソング,2mid1E,2mid2G#,
米津玄師,ホラ吹き猫野郎,2mid1C#,2mid2F,3hiA#
米津玄師,打上花火(米津玄師),2mid1C,3hiA,
米津玄師,心像放映,2mid1D#,2mid2F,
米津玄師,Blue Jasmine,2mid1D#,2mid2G#,
米津玄師,KARMA CITY,2mid1A#,2mid2F,3hiA#
米津玄師,ひまわり,2mid1E,3hiA,
米津玄師,こころにくだもの,2mid1D#,2mid2G#,
米津玄師,眼福,2mid1E,2mid2F#,3hiB
米津玄師,でしょましょ,1lowF#,2mid2G,
米津玄師,トイパトリオット,2mid1C#,2mid2F#,
米津玄師,しとど晴天大迷惑,2mid1D,2mid2G,2mid2G
米津玄師,カナリヤ,2mid1C,3hiA,3hiD
米津玄師,クランベリーとパンケーキ,1lowG,2mid2G,
米津玄師,迷える羊,2mid1C,2mid2G,3hiC
米津玄師,シンデレラグレイ,2mid1D,2mid2G,3hiA#
米津玄師,Décolleté,3mid1A#,3hiA,2mid2G
米津玄師,翡翠の狼,2mid1D#,3hiA#,
UNISON SQUARE GARDEN,オリオンをなぞる,2mid1G#,3hiB,
UNISON SQUARE GARDEN,シュガーソングとビターステップ,2mid1F#,3hiB,
UNISON SQUARE GARDEN,天国と地獄,2mid1C#,3hiC#,
UNISON SQUARE GARDEN,等身大の地球,2mid1A,3hiB,
UNISON SQUARE GARDEN,僕は君になりたい,2mid1G,3hiA,
UNISON SQUARE GARDEN,夜が揺れている,2mid1G,3hiA#,
UNISON SQUARE GARDEN,アンドロメダ,2mid1E,3hiC,
UNISON SQUARE GARDEN,cody beats,2mid2A,3hiC,
UNISON SQUARE GARDEN,さよならサマータイムマシン,2mid1G#,3hiB,
UNISON SQUARE GARDEN,何かが変わりそう,2mid1E,3hiB,
UNISON SQUARE GARDEN,一人思うは雨の中,2mid1F#,3hiA#,
UNISON SQUARE GARDEN,アイラブニージュー,2mid2B,3hiB,
UNISON SQUARE GARDEN,桜のあと(all quartets lead to the?),2mid2A,3hiB,
UNISON SQUARE GARDEN,リニアブルーを聴きながら,2mid1G#,3hiC,
UNISON SQUARE GARDEN,春が来てぼくら,2mid1E,3hiB,
UNISON SQUARE GARDEN,fake town baby,2mid1G#,3hiC#,
UNISON SQUARE GARDEN,Phantom  Joke,2mid2A,3hiC,3hiD
UNISON SQUARE GARDEN,君の瞳に恋してない,2mid1F,3hiB,3hiC
UNISON SQUARE GARDEN,流星のスコール,2mid1B,3hiB,
RADWIMPS,有心論,2mid1A,2mid2G,
RADWIMPS,いいんですか？,2mid1F#,2mid2G#,2mid2G#
RADWIMPS,新世界,2mid1D,2mid2G,2mid2G
RADWIMPS,トレモロ,2mid1E,2mid2G,
RADWIMPS,セプテンバーさん,2mid1A,2mid2G,3hiA
RADWIMPS,夏のせい,2mid1E,2mid2F#,
RADWIMPS,愛にできることはまだあるかい,2mid1C#,2mid2F#,
RADWIMPS,me me she,2mid1B,3hiA,
RADWIMPS,スパークル,2mid1B,2mid2G#,
RADWIMPS,君と羊と青,2mid1E,2mid2G#,
RADWIMPS,最大公約数,2mid1A#,2mid2G#,3hiA#
RADWIMPS,なんでもないや,2mid1C#,3hiA#,3hiB
RADWIMPS,遠恋,2mid1E,3hiA,
RADWIMPS,ふたりごと,2mid1F,2mid2G,3hiD
RADWIMPS,前前前世,2mid1F#,2mid2F#,
RADWIMPS,05410-(ん),2mid1G,2mid2G#,
RADWIMPS,おしゃかしゃま,2mid1F,2mid2G#,3hiA#
RADWIMPS,音の葉,2mid1D,2mid2E,
RADWIMPS,そっけない,2mid1E,2mid2G,3hiA#
RADWIMPS,雨音子,2mid2A,2mid2G,
RADWIMPS,だいだらぼっち,2mid1E,2mid2F#,
RADWIMPS,夢見月に何想ふ,2mid1F#,2mid2G#,3hiD#
RADWIMPS,コンドーム,2mid1G,2mid2G,
RADWIMPS,叫べ,2mid1B,2mid2G#,3hiC#
RADWIMPS,ジェニファー山田さん,2mid1F#,3hiA,3hiA
RADWIMPS,夢灯籠,2mid1A#,2mid2G#,
RADWIMPS,夢番地,2mid1E,3hiA,3hiA
RADWIMPS,ララバイ,2mid1E,2mid2F#,3hiB
RADWIMPS,One Man Live,2mid1E,2mid2G,3hiA
RADWIMPS,指きりげんまん,2mid1G,3hiA,3hiA
RADWIMPS,ます。,2mid2A,3hiA,
レベッカ,フレンズ,2mid2B,3hiC,
レベッカ,MOON,2mid2B,3hiC#,
レベッカ,ラズベリー・ドリーム,2mid2D,3hiD,3hiE
レベッカ,蜃気楼,2mid2A,3hiD,
レベッカ,LONELY BUTTERELY,2mid1G,3hiD,
レベッカ,LOVE PASSION,2mid2D,3hiD,
レベッカ,プライベイト・ヒロイン,2mid2C#,3hiD#,
レベッカ,恋に堕ちたら,2mid1F,3hiD#,
レベッカ,ガールズブラボー,2mid2C,3hiD,
レベッカ,Cotton Time,2mid2B,3hiC#,
レベッカ,ヴァージニティー,mid2D,hiD,
レベッカ,Maybe Tomorrow,mid2A,hiC,
レベッカ,真夏の雨,mid1G,hiG,
レベッカ,フリーウェイ・シンフォニー,mid2C,hiD,
レベッカ,恋に堕ちたら,mid1F,hiD#,
レベッカ,ラブイズCash,mid2C#,hiD#,
レベッカ,OLIVE,mid2A#,hiC,
WANIMA,ともに,2mid1F,3hiC#,
WANIMA,いいから,2mid1F,3hiA#,
WANIMA,やってみよう,2mid1G,3hiC,
WANIMA,アゲイン,2mid1G,3hiD,
WANIMA,シグナル,2mid1G#,3hiC#,
WANIMA,THANX,3mid1G#,3hiA,
WANIMA,ヒューマン,2mid1G,3hiD,
WANIMA,CHEEKY,2mid2A,3hihiA,
WANIMA,1106,2mid1G#,2mid2G#,
WANIMA,Drive,2mid1G,3hiC,
WANIMA,TRACE,2mid2A,3hiB,
WANIMA,GONG,3mid1G#,3hiC#,
WANIMA,春を待って,2mid2A,3hiB,
WANIMA,夏のどこかへ,2mid2D,3hiD,
WANIMA,HOME,2mid1G#,3hiB,
WANIMA,りんどう,2mid1D,3hiC,
WANIMA,オドルヨル,2mid2C,3hiD,
WANIMA,1CHANCE,2mid1F#,3hiA#,
WANIMA,CHARM,2mid2A#,3hiA#,
WANIMA,リベンジ,2mid2A,3hiA,
WANIMA,Japanese Pride,2mid2C#,3hiA#,
WANIMA,これだけは,2mid2B,3hiC#,
wacci,別の人の彼女になったよ,2mid1A,2mid2F#,
wacci,感情,2mid1C#,2mid2F#,
wacci,フレンズ,2mid1D,2mid2F#,
wacci,キラメキ,2mid1C#,2mid2G#,2mid2G#
wacci,大丈夫,2mid1C#,3hiA,
wacci,結,2mid1C,2mid2G#,
wacci,花束にして,2mid1A#,2mid2G,3hiB
wacci,会いに行くよ,2mid1D#,2mid2G#,
wacci,さかな,2mid1B,3hiA,
wacci,Baton,2mid1A#,2mid2F,
wacci,歩み,2mid1D,3hiA,3hiA
wacci,君なんだよ,2mid1D#,2mid2F#,3hiA
wacci,東京,2mid1B,3hiA,
wacci,足りない,2mid1A,2mid2G,3hiA
wacci,ヒーロー,2mid1A#,2mid2G#,
wacci,坂道,2mid1B,2mid2G#,
wacci,夏休み,2mid1D#,2mid2G#,
wacci,誰ニモマケズ,2mid1E,3hiA,
wacci,サンタクロースを僕に,2mid1A#,2mid2G#,3hiC
